image,ground_truth,predicted,error,abs_error,correct
OR15003_284R1_L [BLL9].jpg,3,3,0,0,True
OR15003_284V1_L [BLL9].jpg,3,3,0,0,True
OR15006_12A_L [BLL327].jpg,5,5,0,0,True
OR15006_12B_L [BLL327].jpg,5,5,0,0,True
OR15006_35A_L [BLL330].jpg,5,5,0,0,True
OR15006_35B_L [BLL330].jpg,5,5,0,0,True
OR15006_38A_L [BLL330].jpg,3,4,1,1,False
OR15006_38B_L [BLL330].jpg,3,3,0,0,True
OR15007_235R1_L [BLL42].jpg,6,7,1,1,False
OR15007_235V1_L [BLL42].jpg,6,6,0,0,True
OR15007_267V1_L [BLL42].jpg,6,6,0,0,True
OR15007_570R_L [BLL68].jpg,3,3,0,0,True
OR15007_593R_L [BLL68].jpg,3,3,0,0,True
OR15007_593V_L [BLL68].jpg,2,2,0,0,True
OR15007_594R_L [BLL68].jpg,2,2,0,0,True
OR15007_594V_L [BLL68].jpg,1,1,0,0,True
OR15007_595R_L [BLL68].jpg,1,1,0,0,True
OR15007_595V_L [BLL68].jpg,2,3,1,1,False
OR15007_628R_L [BLL68].jpg,1,1,0,0,True
OR15007_628V_L [BLL68].jpg,1,1,0,0,True
OR15007_666V_L [BLL73].jpg,4,4,0,0,True
OR15007_670R_L [BLL73].jpg,3,3,0,0,True
OR15007_688R_L [BLL73].jpg,3,3,0,0,True
OR15007_688V_L [BLL73].jpg,4,4,0,0,True
OR15007_689V_L [BLL73].jpg,6,6,0,0,True
OR15007_690R_L [BLL73].jpg,6,6,0,0,True
OR15007_690V_L [BLL73].jpg,6,6,0,0,True
OR15007_691R_L [BLL73].jpg,4,5,1,1,False
OR15007_691V_L [BLL73].jpg,5,5,0,0,True
OR15007_717R_L [BLL73].jpg,2,2,0,0,True
OR15007_719V_L [BLL73].jpg,4,4,0,0,True
OR15008_13_A_L [BLL273].jpg,3,3,0,0,True
OR15009_101A_L [BLL119].jpg,5,5,0,0,True
OR15009_101B_L [BLL119].jpg,5,5,0,0,True
OR15009_109A_L [BLL119].jpg,7,7,0,0,True
OR15009_109B_L [BLL119].jpg,7,7,0,0,True
OR15009_112A_L [BLL120].jpg,5,5,0,0,True
OR15009_112B_L [BLL120].jpg,5,5,0,0,True
OR15009_120B_L [BLL120].jpg,5,5,0,0,True
OR15009_124A_L [BLL121].jpg,4,4,0,0,True
OR15009_124B_L [BLL121].jpg,4,4,0,0,True
OR15009_136A_L [BLL122].jpg,4,4,0,0,True
OR15009_140A_A_L [BLL122].jpg,7,7,0,0,True
OR15009_143B_L [BLL122].jpg,5,5,0,0,True
OR15009_156A_L [BLL150].jpg,7,7,0,0,True
OR15009_157A_L [BLL150].jpg,7,7,0,0,True
OR15009_159B_L [BLL150].jpg,8,8,0,0,True
OR15009_160B_L [BLL150].jpg,6,6,0,0,True
OR15009_162B_L [BLL150].jpg,6,6,0,0,True
OR15009_165A_L [BLL151].jpg,5,5,0,0,True
OR15009_233A_L [BLL160].jpg,4,4,0,0,True
OR15009_267A_L [BLL156].jpg,5,5,0,0,True
OR15009_268A_L [BLL156].jpg,5,5,0,0,True
OR15009_268B_L [BLL156].jpg,5,5,0,0,True
OR15009_271A_L [BLL156].jpg,8,8,0,0,True
OR15009_271B_L [BLL156].jpg,8,8,0,0,True
OR15009_274A_L [BLL157].jpg,6,6,0,0,True
OR15009_274B_L [BLL157].jpg,6,6,0,0,True
OR15009_275A_L [BLL157].jpg,4,4,0,0,True
OR15009_283A_L [BLL157].jpg,5,5,0,0,True
OR15009_286A_L [BLL158].jpg,3,3,0,0,True
OR15009_286B_L [BLL158].jpg,3,3,0,0,True
OR15009_314A_L [BLL170].jpg,3,3,0,0,True
OR15009_315A_L [BLL170].jpg,3,3,0,0,True
OR15009_328A_L [BLL171].jpg,6,6,0,0,True
OR15009_328B_L [BLL171].jpg,6,6,0,0,True
OR15009_330B_L [BLL171].jpg,6,7,1,1,False
OR15009_331A_L [BLL171].jpg,4,4,0,0,True
OR15009_334A_L [BLL171].jpg,5,5,0,0,True
OR15009_334B_L [BLL171].jpg,5,5,0,0,True
OR15009_392A_L [BLL176].jpg,5,5,0,0,True
OR15009_392B_L [BLL176].jpg,5,5,0,0,True
OR15009_395A_L [BLL177].jpg,5,5,0,0,True
OR15009_397A_L [BLL177].jpg,6,6,0,0,True
OR15009_398A_L [BLL177].jpg,6,6,0,0,True
OR15009_398B_L [BLL177].jpg,6,6,0,0,True
OR15009_400B_L [BLL177].jpg,4,4,0,0,True
OR15009_411A_L [BLL178].jpg,5,5,0,0,True
OR15009_411B_L [BLL178].jpg,5,5,0,0,True
OR15009_413A_L [BLL178].jpg,4,4,0,0,True
OR15009_413B_L [BLL178].jpg,4,4,0,0,True
OR15009_414A_L [BLL178].jpg,3,3,0,0,True
OR15009_414B_L [BLL178].jpg,4,5,1,1,False
OR15009_416A_L [BLL179].jpg,6,6,0,0,True
OR15009_416B_L [BLL179].jpg,6,6,0,0,True
OR15009_421A_L [BLL179].jpg,6,6,0,0,True
OR15009_421B_L [BLL179].jpg,6,6,0,0,True
OR15009_424B_L [BLL179].jpg,5,5,0,0,True
OR15009_454A_L [BLL182].jpg,6,6,0,0,True
OR15009_454B_L [BLL182].jpg,6,6,0,0,True
OR15009_455A_L [BLL182].jpg,4,4,0,0,True
OR15009_459A_L [BLL182].jpg,4,4,0,0,True
OR15009_459B_L [BLL182].jpg,4,4,0,0,True
OR15009_45A_L [BLL104].jpg,5,5,0,0,True
OR15009_45B_L [BLL104].jpg,5,5,0,0,True
OR15009_460A_L [BLL182].jpg,6,6,0,0,True
OR15009_48B_L [BLL104].jpg,8,8,0,0,True
OR15009_509A_L [BLL221].jpg,3,3,0,0,True
OR15009_513A_L [BLL221].jpg,5,5,0,0,True
OR15009_513B_L [BLL221].jpg,5,5,0,0,True
OR15009_515B_L [BLL221].jpg,6,6,0,0,True
OR15009_590A_L [BLL211].jpg,5,5,0,0,True
OR15009_590B_L [BLL211].jpg,5,5,0,0,True
OR15009_594B_L [BLL211].jpg,4,4,0,0,True
OR15009_644B_L [BLL226].jpg,3,3,0,0,True
OR15009_651A_L [BLL227].jpg,5,5,0,0,True
OR15009_651B_L [BLL227].jpg,5,5,0,0,True
OR15009_660A_L [BLL228].jpg,6,6,0,0,True
OR15009_660B_L [BLL228].jpg,6,6,0,0,True
OR15009_661A_L [BLL228].jpg,5,5,0,0,True
OR15009_661B_L [BLL228].jpg,5,5,0,0,True
OR15009_663A_L [BLL228].jpg,5,5,0,0,True
OR15009_663B_L [BLL228].jpg,5,5,0,0,True
OR15009_665A_L [BLL228].jpg,4,4,0,0,True
OR15009_665B_L [BLL228].jpg,4,4,0,0,True
OR15009_666A_L [BLL228].jpg,6,6,0,0,True
OR15009_666B_L [BLL228].jpg,6,6,0,0,True
OR15009_667A_L [BLL228].jpg,5,5,0,0,True
OR15009_667B_L [BLL228].jpg,5,5,0,0,True
OR15009_669A_L [BLL228].jpg,6,6,0,0,True
OR15009_669B_L [BLL228].jpg,6,6,0,0,True
OR15009_71A_L [BLL106].jpg,5,5,0,0,True
OR15010_104A_L [BLL92].jpg,7,7,0,0,True
OR15010_104B_L [BLL92].jpg,7,7,0,0,True
OR15010_111A_L [BLL94].jpg,7,7,0,0,True
OR15010_111B_L [BLL94].jpg,7,7,0,0,True
OR15010_157A_L [BLL97].jpg,3,4,1,1,False
OR15010_157B_L [BLL97].jpg,3,3,0,0,True
OR15010_159B_L [BLL97].jpg,6,6,0,0,True
OR15010_15R_L [BLL71].jpg,10,10,0,0,True
OR15010_15V_L [BLL71].jpg,10,10,0,0,True
OR15010_160B_L [BLL97].jpg,8,8,0,0,True
OR15010_18R_L [BLL71].jpg,8,8,0,0,True
OR15010_18V_L [BLL71].jpg,8,8,0,0,True
OR15010_19R_L [BLL71].jpg,11,11,0,0,True
OR15010_19V_L [BLL71].jpg,11,11,0,0,True
OR15010_20R_L [BLL71].jpg,9,9,0,0,True
OR15010_20V_L [BLL71].jpg,9,9,0,0,True
OR15010_21R_L [BLL71].jpg,10,10,0,0,True
OR15010_21V_L [BLL71].jpg,10,10,0,0,True
OR15010_22R_L [BLL76].jpg,10,11,1,1,False
OR15010_22V_L [BLL76].jpg,10,10,0,0,True
OR15010_33R_L [BLL86].jpg,9,9,0,0,True
OR15010_33V_L [BLL86].jpg,9,9,0,0,True
OR15010_34R_L [BLL86].jpg,4,4,0,0,True
OR15010_36R_L [BLL86].jpg,11,10,-1,1,False
OR15010_36V_L [BLL86].jpg,11,11,0,0,True
OR15010_37R_L [BLL86].jpg,9,10,1,1,False
OR15010_38R_L [BLL86].jpg,8,8,0,0,True
OR15010_38V_L [BLL86].jpg,8,8,0,0,True
OR15010_42R_L [BLL86].jpg,10,10,0,0,True
OR15010_42V_L [BLL86].jpg,10,10,0,0,True
OR15010_43R_L [BLL86].jpg,7,8,1,1,False
OR15010_43V_L [BLL86].jpg,7,7,0,0,True
OR15010_46R_L [BLL87].jpg,7,7,0,0,True
OR15010_46V_L [BLL87].jpg,7,7,0,0,True
OR15010_48R_L [BLL87].jpg,10,11,1,1,False
OR15010_48V_L [BLL87].jpg,10,11,1,1,False
OR15010_49R_L [BLL87].jpg,14,14,0,0,True
OR15010_49V_L [BLL87].jpg,14,14,0,0,True
OR15010_50R_L [BLL87].jpg,14,14,0,0,True
OR15010_50V_L [BLL87].jpg,13,13,0,0,True
OR15010_51R_L [BLL87].jpg,8,8,0,0,True
OR15010_52V_L [BLL87].jpg,6,6,0,0,True
OR15010_58A_L [BLL82].jpg,11,11,0,0,True
OR15010_58B_L [BLL82].jpg,11,11,0,0,True
OR15010_62A_L [BLL82].jpg,14,14,0,0,True
OR15010_62B_L [BLL82].jpg,14,14,0,0,True
OR15010_63A_L [BLL82].jpg,7,7,0,0,True
OR15010_63B_L [BLL82].jpg,7,7,0,0,True
OR15010_67B_L [BLL90].jpg,9,9,0,0,True
OR15010_68A_L [BLL90].jpg,6,6,0,0,True
OR15010_68B_L [BLL90].jpg,6,6,0,0,True
OR15010_69A_L [BLL90].jpg,6,7,1,1,False
OR15010_69B_L [BLL90].jpg,6,7,1,1,False
OR15010_71A_L [BLL90].jpg,6,6,0,0,True
OR15010_71B_L [BLL90].jpg,6,6,0,0,True
OR15010_72A_L [BLL90].jpg,7,9,2,2,False
OR15010_72B_L [BLL90].jpg,7,10,3,3,False
OR15010_73A_L [BLL90].jpg,8,8,0,0,True
OR15010_73B_L [BLL90].jpg,8,8,0,0,True
OR15010_74A_L [BLL90].jpg,10,10,0,0,True
OR15010_74B_L [BLL90].jpg,10,10,0,0,True
OR15010_96B_L [BLL92].jpg,7,8,1,1,False
OR15010_99A_L [BLL92].jpg,4,6,2,2,False
OR15010_99B_L [BLL92].jpg,5,5,0,0,True
OR15011_10A_L [BLL338].jpg,5,5,0,0,True
OR15011_10B_L [BLL338].jpg,5,5,0,0,True
OR15011_11A_L [BLL338].jpg,5,6,1,1,False
OR15011_11B_L [BLL338].jpg,5,5,0,0,True
OR15011_12A_L [BLL338].jpg,4,4,0,0,True
OR15011_12B_L [BLL338].jpg,4,4,0,0,True
OR15011_13A_L [BLL338].jpg,6,7,1,1,False
OR15011_13B_L [BLL338].jpg,6,7,1,1,False
OR15011_18A_L [BLL339].jpg,7,7,0,0,True
OR15011_18B_L [BLL339].jpg,7,7,0,0,True
OR15011_31B_1_L [BLL342].jpg,7,7,0,0,True
OR15011_31B_2_L [BLL342].jpg,7,7,0,0,True
OR15011_31B_ST_L [BLL342].jpg,7,7,0,0,True
OR15011_8A_L [BLL338].jpg,6,6,0,0,True
OR15011_8B_L [BLL338].jpg,6,6,0,0,True
OR15011_9A_L [BLL338].jpg,5,5,0,0,True
OR15011_9B_L [BLL338].jpg,5,5,0,0,True
OR15012_14A_L [BLL343].jpg,7,7,0,0,True
OR15012_14B_L [BLL343].jpg,7,7,0,0,True
OR15012_23A_L [BLL344].jpg,12,12,0,0,True
OR15012_23B_L [BLL344].jpg,12,12,0,0,True
OR15012_26A_L [BLL345].jpg,5,5,0,0,True
OR15012_26B_L [BLL345].jpg,5,5,0,0,True
OR15012_3A_L [BLL342].jpg,4,4,0,0,True
OR15012_3B_L [BLL342].jpg,5,4,-1,1,False
OR15012_4A_L [BLL342].jpg,7,6,-1,1,False
OR15012_4B_L [BLL342].jpg,7,7,0,0,True
OR15017_14_V_L [BLL849].jpg,12,13,1,1,False
OR15017_1_R_L [BLL849].jpg,4,4,0,0,True
OR15017_1_V_L [BLL849].jpg,4,4,0,0,True
OR15017_2_R_L [BLL849].jpg,4,4,0,0,True
OR15017_4_R_L [BLL849].jpg,6,6,0,0,True
OR15017_4_V_L [BLL849].jpg,6,6,0,0,True
OR15017_7_R_L [BLL849].jpg,5,5,0,0,True
OR15017_8_R_L [BLL849].jpg,5,5,0,0,True
OR15017_9_R_L [BLL849].jpg,5,4,-1,1,False
OR8212_1422_3A_L [BLL373].jpg,3,4,1,1,False
OR8212_1422_3B_L [BLL373].jpg,3,3,0,0,True
OR8212_15_5A_L [BLL84].jpg,6,7,1,1,False
OR8212_15_5B_L [BLL84].jpg,7,7,0,0,True
OR8212_16_2B_L [BLL84].jpg,2,2,0,0,True
OR8212_20_2A_L [BLL300].jpg,7,7,0,0,True
OR8212_20_2B_L [BLL300].jpg,7,7,0,0,True
OR8212_33_4A_L [BLL446].jpg,8,9,1,1,False
OR9613_10_A1_L [BLL375].jpg,7,7,0,0,True
OR9613_10_A2_L [BLL375].jpg,7,8,1,1,False
OR9613_10_A_ST_L [BLL375].jpg,7,7,0,0,True
OR9613_10_B1_L [BLL375].jpg,7,7,0,0,True
OR9613_10_B2_L [BLL375].jpg,7,7,0,0,True
OR9613_10_B_ST_L [BLL375].jpg,7,8,1,1,False
OR9613_11_A1_L [BLL375].jpg,7,7,0,0,True
OR9613_11_A2_L [BLL375].jpg,7,7,0,0,True
OR9613_11_A_ST_L [BLL375].jpg,7,7,0,0,True
OR9613_11_B1_L [BLL375].jpg,7,7,0,0,True
OR9613_11_B2_L [BLL375].jpg,7,7,0,0,True
OR9613_11_B_ST_L [BLL375].jpg,7,8,1,1,False
OR9613_12_A1_L [BLL375].jpg,7,7,0,0,True
OR9613_12_A2_L [BLL375].jpg,7,7,0,0,True
OR9613_12_A_ST_L [BLL375].jpg,7,7,0,0,True
OR9613_12_B1_L [BLL375].jpg,7,7,0,0,True
OR9613_12_B2_L [BLL375].jpg,7,7,0,0,True
OR9613_12_B_ST_L [BLL375].jpg,7,7,0,0,True
OR9613_1_A1_L [BLL373].jpg,7,7,0,0,True
OR9613_1_A2_L [BLL373].jpg,7,8,1,1,False
OR9613_1_A_ST_L [BLL373].jpg,7,9,2,2,False
OR9613_1_B1_L [BLL373].jpg,7,7,0,0,True
OR9613_1_B2_L [BLL373].jpg,7,7,0,0,True
OR9613_1_B_ST_L [BLL373].jpg,7,8,1,1,False
OR9613_28_A1_L [BLL380].jpg,4,4,0,0,True
OR9613_28_A2_L [BLL380].jpg,6,6,0,0,True
OR9613_28_A_ST_L [BLL380].jpg,6,9,3,3,False
OR9613_28_B1_L [BLL380].jpg,4,4,0,0,True
OR9613_28_B2_L [BLL380].jpg,6,6,0,0,True
OR9613_28_B_ST_L [BLL380].jpg,6,6,0,0,True
OR9613_29_A1_L [BLL380].jpg,7,7,0,0,True
